Eventnaam,Aantal Deelnemers
4e Athletics Champs wedstrijd - regio 23,199 deelnemers
Athletics Champs regio 23 Totaal [2024],840 deelnemers
Athletics Champs regio 11 Totaal [2024],586 deelnemers
2e Sprongwedstrijd Athletic ChampsAlleen clubleden,97 deelnemers
Athletics Champs Competitie Regio 21 Finale,209 deelnemers
Athletics Champs regio 21 Totaal [2024],755 deelnemers
Finale Stedenwedstrijd Athletics Champs regio18/19,255 deelnemers
Finale Stedenwedstrijd Athletics Champs regio18/19,271 deelnemers
Athletics Champs regio 17 Totaal [2024],368 deelnemers
Athletics Champs wedstrijd 4 Regio 17,92 deelnemers
6e Athletic Champs regio 15,218 deelnemers
Athletics Champs regio 15 Totaal [2024],1283 deelnemers
Athletics Champs regio 16 Totaal [2024],951 deelnemers
Finale Athletic Champs Regio 16,223 deelnemers
Athletic champsAlleen clubleden,0 deelnemers
Athletics Champs 3e wedstrijd regio 17,66 deelnemers
Athletics Champs Competitie Regio 21 Wedstrijd 3,187 deelnemers
5e Athletic Champs wedstrijd regio 15,194 deelnemers
Athletics Champs AV Rijssen 2024,95 deelnemers
4e Wedstrijd Athletic Champs regio 14,206 deelnemers
Athletics Champs regio 14 Totaal [2024],849 deelnemers
Sprongwedstrijd Athletic ChampsAlleen clubleden,89 deelnemers
Athletic Champs regio 16 -wedstrijd 4,168 deelnemers
3e stedenwedstrijd athletic champs regio 18/19,299 deelnemers
3e Stedenwedstrijd Athletics Champs regio 18/19,208 deelnemers
Athletics Champs regio 12 Totaal [2024],885 deelnemers
3e wedstrijd Athletics Champs Regio 14,209 deelnemers
3e competitiewedstrijd Athletic Champs,171 deelnemers
Athletics Champs Competitie Regio 21 Wedstrijd 2,199 deelnemers
Athletic Champs ronde 2 regio 16,196 deelnemers
De 2e wedstrijd Athletics Champs in Regio 14,219 deelnemers
2de Athletics Champs Pupillen regio 18 & 19,225 deelnemers
2e Athletics Champs Regio 13 2024,254 deelnemers
2e Athletics Champs wedstrijd - regio 23,210 deelnemers
Athletic Champs Achilles-Top wedstrijd 2 2024,99 deelnemers
Athletics Champs competitie nr 2 - regio 12,229 deelnemers
Athletics Champs regio 15 ronde 2,212 deelnemers
[AFGELAST] Athletics Champs regio 16 - wedstrijd 1,0 deelnemers
"1e Athletic Champs Regio 17 2024, STB",111 deelnemers
1e Athletics Champs wedstrijd - regio 23,200 deelnemers
1e Stedenwedstrijd Athletics Champs regio 18/19,253 deelnemers
1e Stedenwedstrijd Athletics Champs regio 18/19,251 deelnemers
Regio 12 1e Athletic Champs competitie,213 deelnemers
1e Athletics Champs Regio 13 2024,268 deelnemers
1e Wedstrijd Athletics Champs - Regio 14,215 deelnemers
Athletics Champs regio 15 ronde 1,221 deelnemers
Athletics Champs Competitie Regio 21 Wedstrijd 1,160 deelnemers
Paaswedstrijd Athletic Champs 2024,68 deelnemers
Athletic Champs OpeningswedstrijdAlleen clubleden,78 deelnemers
Indoor Open LK Athletics Champs voor pupillen 2024,167 deelnemers
AV Lionitas Athletics Champs trainingswedstrijdAlleen clubleden,129 deelnemers
Indoorwedstrijd Athletics Champs,76 deelnemers
15e Indoor Athletics Champs Drachten,267 deelnemers
